HIP	RA	Dec	Vmag
122	00 01 35.85	-77 03 55.1	4.78
154	00 01 57.59	-06 00 50.3	4.37
301	00 03 44.37	-17 20 09.5	4.55
355	00 04 30.12	-10 30 34.2	4.99
443	00 05 20.15	-05 42 28.2	4.61
677	00 08 23.17	+29 05 27.0	2.07
746	00 09 10.09	+59 09 00.8	2.28
765	00 09 24.54	-45 44 49.2	3.88
910	00 11 15.91	-15 28 02.4	4.89
1067	00 13 14.15	+15 11 01.0	2.83
1168	00 14 36.11	+20 12 24.1	4.79
1170	00 14 38.43	-18 55 57.7	4.44
1366	00 17 05.54	+38 40 54.0	4.61
1473	00 18 19.71	+36 47 07.2	4.51
1562	00 19 25.68	-08 49 25.8	3.56
1599	00 20 01.91	-64 52 39.4	4.23
2021	00 25 39.20	-77 15 18.1	2.82
2072	00 26 12.12	-43 40 47.7	3.93
2081	00 26 16.87	-42 18 18.4	2.4
2210	00 27 55.71	-33 00 25.4	4.86
2472	00 31 24.86	-48 48 12.8	4.76
2484	00 31 32.56	-62 57 29.1	4.36
2487	00 31 33.36	-62 57 55.6	4.53
2505	00 31 46.32	+54 31 20.4	4.74
2599	00 32 59.99	+62 55 54.4	4.17
2912	00 36 52.84	+33 43 09.7	4.34
2920	00 36 58.27	+53 53 49.0	3.69
3031	00 38 33.50	+29 18 44.5	4.34
3092	00 39 19.60	+30 51 40.4	3.27
3179	00 40 30.39	+56 32 14.7	2.24
3245	00 41 19.58	-46 05 06.0	4.59
3300	00 42 03.88	+50 30 45.1	4.8
3405	00 43 21.24	-57 27 47.2	4.36
3414	00 43 28.09	+47 01 28.7	4.95
3419	00 43 35.23	-17 59 12.1	2.04
3455	00 44 11.41	-10 36 33.4	4.77
3504	00 44 43.50	+48 17 03.8	4.48
3693	00 47 20.39	+24 16 02.6	4.08
3786	00 48 40.90	+07 35 06.7	4.44
3801	00 48 49.99	+50 58 05.5	4.9
3821	00 49 05.10	+57 48 59.6	3.46
3881	00 49 48.83	+41 04 44.2	4.53
4147	00 53 00.49	-01 08 39.2	4.78
4151	00 53 04.28	+61 07 24.8	4.8
4292	00 55 00.19	+58 58 22.1	4.83
4422	00 56 40.01	+59 10 52.2	4.62
4427	00 56 42.50	+60 43 00.3	2.15
4436	00 56 45.10	+38 29 57.3	3.86
4463	00 57 12.43	+23 25 03.9	4.4
4577	00 58 36.35	-29 21 26.9	4.3
4906	01 02 56.66	+07 53 24.3	4.27
5165	01 06 05.11	-46 43 06.6	3.32
5348	01 08 23.06	-55 14 45.0	3.94
5364	01 08 35.26	-10 10 54.9	3.46
5372	01 08 44.16	+86 15 25.6	4.24
5434	01 09 30.12	+47 14 30.6	4.26
5447	01 09 43.80	+35 37 15.0	2.07
5542	01 11 05.93	+55 08 59.8	4.34
5571	01 11 27.19	+21 02 04.8	4.66
5586	01 11 39.59	+30 05 23.0	4.51
5742	01 13 44.94	+24 35 01.6	4.67
5862	01 15 10.57	-45 31 55.5	4.97
5896	01 15 45.50	-68 52 34.5	4.25
6193	01 19 27.98	+27 15 50.7	4.74
6242	01 20 04.92	+58 13 53.8	4.95
6411	01 22 20.39	+45 31 43.5	4.87
6537	01 24 01.45	-08 10 57.9	3.6
6670	01 25 37.21	-14 35 55.5	4.9
6686	01 25 48.60	+60 14 07.5	2.66
6692	01 25 55.90	+68 07 47.8	4.72
6813	01 27 39.09	+45 24 25.0	4.83
6867	01 28 21.94	-43 19 03.8	3.41
7007	01 30 10.94	+06 08 38.2	4.84
7083	01 31 14.98	-49 04 23.1	3.93
7097	01 31 28.99	+15 20 45.0	3.62
7294	01 33 55.93	+59 13 55.5	4.68
7513	01 36 47.98	+41 24 23.0	4.1
7588	01 37 42.75	-57 14 12.0	0.45
7607	01 37 59.50	+48 37 42.6	3.59
7818	01 40 34.80	+40 34 37.6	4.96
7884	01 41 25.91	+05 29 15.4	4.45
