|name      |ra           |dec          |pm_ra   |pm_dec  |parallax|spect_type  |vmag |
|HIP 32349 |06 45 09.2499|-16 42 47.315| -546.01|-1223.08|  379.21|A0m...      |-1.44|
|HIP 30438 |06 23 57.0906|-52 41 44.585|   19.99|   23.67|   10.43|F0Ib        |-0.62|
|HIP 69673 |14 15 40.3474|+19 11 14.172|-1093.45|-1999.40|   88.85|K2IIIp      |-0.05|
|HIP 71683 |14 39 40.8985|-60 50 06.529|-3678.19|  481.84|  742.12|G2V         |-0.01|
|HIP 91262 |18 36 56.1860|+38 46 58.775|  201.02|  287.46|  128.93|A0Vvar      | 0.03|
|HIP 24608 |05 16 41.2956|+45 59 56.505|   75.52| -427.13|   77.29|M1: comp    | 0.08|
|HIP 24436 |05 14 32.2712|-08 12 05.901|    1.87|   -0.56|    4.22|B8Ia        | 0.18|
|HIP 37279 |07 39 18.5381|+05 13 39.028| -716.57|-1034.58|  285.93|F5IV-V      | 0.40|
|HIP 7588  |01 37 42.7517|-57 14 11.976|   88.02|  -40.08|   22.68|B3Vp        | 0.45|
|HIP 27989 |05 55 10.2892|+07 24 25.331|   27.33|   10.86|    7.63|M2Ib        | 0.45|
|HIP 68702 |14 03 49.4446|-60 22 22.722|  -33.96|  -25.06|    6.21|B1III       | 0.61|
|HIP 97649 |19 50 46.6821|+08 52 02.586|  536.82|  385.54|  194.44|A7IV-V      | 0.76|
|HIP 60718 |12 26 35.9414|-63 05 56.601|  -35.37|  -14.73|   10.17|B0.5IV      | 0.77|
|HIP 21421 |04 35 55.2005|+16 30 35.142|   62.78| -189.36|   50.09|K5III       | 0.87|
|HIP 65474 |13 25 11.6046|-11 09 40.482|  -42.50|  -31.73|   12.44|B1V         | 0.98|
|HIP 80763 |16 29 24.4675|-26 25 55.006|  -10.16|  -23.21|    5.40|M1Ib + B2.5V| 1.06|
|HIP 37826 |07 45 19.3638|+28 01 34.717| -625.69|  -45.95|   96.74|K0IIIvar    | 1.16|
|HIP 113368|22 57 38.8256|-29 37 18.613|  329.22| -164.22|  130.08|A3V         | 1.17|
|HIP 62434 |12 47 43.3189|-59 41 19.437|  -48.24|  -12.82|    9.25|B0.5III     | 1.25|
|HIP 102098|20 41 25.9134|+45 16 49.203|    1.56|    1.55|    1.01|A2Ia        | 1.25|
|HIP 71681 |14 39 39.3908|-60 50 22.097|-3600.35|  952.11|  742.12|K1V         | 1.35|
|HIP 49669 |10 08 22.4594|+11 58 01.902| -249.40|    4.91|   42.09|B7V         | 1.36|
|HIP 33579 |06 58 37.5467|-28 58 19.522|    2.63|    2.29|    7.57|B2II        | 1.50|
|HIP 36850 |07 34 36.0046|+31 53 19.091| -206.33| -148.18|   63.27|A2Vm        | 1.58|
|HIP 61084 |12 31 09.9293|-57 06 45.249|   27.94| -264.33|   37.09|M4III       | 1.59|
