triad,perimeter,area,polar_moment,side_ratio,normal_coefficient
"(0, 1, 2)",0.649483077993186,0.0012301524376727825,0.06675460830059093,0.05333269307975215,0.020204302856970516
"(0, 1, 3)",0.3990362782766524,0.0001467954154305562,0.02443965962567328,0.08657287054649744,0.00638716813360608
"(0, 1, 4)",0.868324219577662,0.0009076804115805137,0.12086167093000391,0.039802039054071654,0.008340455172367083
"(0, 1, 5)",0.9127531963566897,0.0009594903390954413,0.13379445634228582,0.03786371526738359,0.00797911087669085
"(0, 1, 6)",0.04166108358826108,7.415182321156115e-05,0.00019885741556911282,0.6682496868181623,0.29599292420396633
"(0, 1, 7)",0.5345044934643264,0.0009907197394664977,0.04472793729371456,0.06483785567408423,0.02402529415324058
"(0, 1, 8)",0.21012270182967147,0.00019644497833580868,0.006345036829821639,0.16476444176204086,0.030825888080864925
"(0, 1, 9)",0.5249696231389409,0.0008460302905021655,0.04310154876915526,0.06596217743342117,0.021268564708532296
"(0, 1, 10)",0.29822452255974563,0.00042428805541701396,0.01329893813959394,0.11624487477338008,0.03305176988244033
"(0, 1, 11)",0.22005630276310684,4.319971865299546e-05,0.007002724617934021,0.15697386684501777,0.0061806466164010705
"(0, 1, 12)",0.6678805864653972,0.0010462297315849403,0.07069127208095304,0.05181194205627014,0.016249875448712342
"(0, 1, 13)",0.7983790301966465,0.0011180570838061725,0.10183224194351422,0.04331537896069018,0.0121525202464911
"(0, 1, 14)",0.25868649555360623,0.0007108214551172485,0.009839550814836076,0.1359730287689892,0.07359251273640802
"(0, 1, 15)",0.15099170265656536,3.600766160144226e-05,0.0031291820166917486,0.22880453192497013,0.010942319016993118
"(0, 1, 16)",0.35825695313118555,0.0006962140765975175,0.01951667623521448,0.09696783484175775,0.037581504529213036
"(0, 1, 17)",0.1602723338142859,0.00022857828019746257,0.003550493923902183,0.21719525002100806,0.06165076323674168
"(0, 1, 18)",0.49090739651519766,0.0009556675153867306,0.03752700273916153,0.07064753211202604,0.027474404706821116
"(0, 1, 19)",0.48634587500116055,0.0013328274600226458,0.03679961383994308,0.0716485478409954,0.03903948474873688
"(0, 2, 3)",0.6747972223174755,0.015252562628465357,0.05407848677083919,0.5910609996912717,0.23206885695445165
"(0, 2, 4)",0.860986379384902,0.01437996500157455,0.0958243229024878,0.32464140520885654,0.13439585842658883
"(0, 2, 5)",0.9025549448056409,0.015083403314181515,0.10403953286714261,0.35226916713686296,0.12828405007194538
"(0, 2, 6)",0.642110422498537,0.0004934527628133786,0.06607558060837779,0.04005042173561081,0.008291760798450638
"(0, 2, 7)",0.6168162278760001,0.00020102689501661636,0.05378705059924707,0.18656832927694655,0.0036606920938559813
"(0, 2, 8)",0.6197163025970083,0.002946671920449987,0.05090483074770866,0.2854653413875005,0.05315774642450567
"(0, 2, 9)",0.6197285663420894,0.0026645854239387644,0.05328410837196285,0.21220785077066062,0.04806702416816345
"(0, 2, 10)",0.6179517447986674,0.0020367909875797386,0.048007901670985474,0.4292814100825615,0.036953702461799534
"(0, 2, 11)",0.6345487092085204,0.007282613271010102,0.05272754308978613,0.3008078955614723,0.1253077514192857
"(0, 2, 12)",0.6547214529166003,0.004318018738715303,0.06554234446705662,0.09149378855770604,0.06978980718596947
"(0, 2, 13)",0.7780763782889766,0.007922492483439606,0.08298730606606194,0.22820929203063245,0.09066465077705466
"(0, 2, 14)",0.6259827025299907,0.005598669107449574,0.049826561265876965,0.3709706959164631,0.09898759067646283
"(0, 2, 15)",0.6226387584857621,0.0035677765175192197,0.05467883606320299,0.1888561873283129,0.0637596550002609
"(0, 2, 16)",0.6170423649107325,0.0009451420631351277,0.04762902714973839,0.4726192794840233,0.017198388084566443
"(0, 2, 17)",0.6168983818367063,0.0004903209094785478,0.05305692760824311,0.20586734186332034,0.008926347102827052
"(0, 2, 18)",0.617050013839884,0.0008404275223223381,0.05131697782682847,0.25766866482669754,0.015292558557451926
"(0, 2, 19)",0.6427669893831375,0.009152529147095328,0.05280594400579122,0.3447740625835568,0.15348099645504779
"(0, 3, 4)",0.852997819329453,0.012970234234328384,0.09051321312641944,0.43696102890595084,0.12350160343362984
"(0, 3, 5)",0.8969012272821195,0.01369656347301762,0.10067900850724697,0.41486618567874584,0.11796223612846757
"(0, 3, 6)",0.3863666029557646,0.0008605183323778451,0.0233207648186849,0.06719857898550043,0.03993756539359806
"(0, 3, 7)",0.5713143520461923,0.012307844325927086,0.03841785447546397,0.5506703390499497,0.261247621334958
"(0, 3, 8)",0.37463179384307826,0.0027873352592798868,0.017286164084270975,0.48297103266263103,0.13759433816602715
"(0, 3, 9)",0.5512884343535318,0.010807830402606442,0.03628169461606366,0.5007261107127746,0.24637768885622885
"(0, 3, 10)",0.40300506206073333,0.005503766451687259,0.019518895878174673,0.4845905622097548,0.2347791969607785
"(0, 3, 11)",0.3647120978143713,0.0003334121964811126,0.016624015127634832,0.4918767393315216,0.017366078600780297
"(0, 3, 12)",0.6772795857370042,0.013487393392266553,0.0551600885405201,0.5600667507386108,0.20371015191127056
"(0, 3, 13)",0.7954700949009773,0.014808100777141606,0.07757402207689278,0.47667028740090145,0.16213331611388992
"(0, 3, 14)",0.4390829664477268,0.008145323699315152,0.02219726059915386,0.6276352121189385,0.29270880553638395
"(0, 3, 15)",0.3657231383546127,0.0008722027586784203,0.017431204289181563,0.3195206373402373,0.04517864473639746
"(0, 3, 16)",0.45065786764073357,0.008519518364854652,0.023629005642905626,0.5787014288610154,0.2906308735372933
"(0, 3, 17)",0.37696422046534317,0.0028926345116639766,0.018156422704312104,0.3483013461738312,0.1410307838871785
"(0, 3, 18)",0.5405797352023863,0.01174895669880538,0.03414096696488827,0.5633448926359992,0.27854822765693305
"(0, 3, 19)",0.5822165769442732,0.01543344093554994,0.03825890809711388,0.7537887815535591,0.3154381738054454
"(0, 4, 5)",0.8787575944547,8.659720862863075e-05,0.1225227645333301,0.05057317312443908,0.0007769379390770024
"(0, 4, 6)",0.8586265809579952,0.0012309027589262021,0.11929975195549708,0.029981636009284097,0.011567398721673937
"(0, 4, 7)",0.8488873355086701,0.011432767659019889,0.0898896446736427,0.43352120075847983,0.10991877698055014
"(0, 4, 8)",0.8343223714675426,0.00012212757301966262,0.09669878898739714,0.21103951936403287,0.0012155324787545836
"(0, 4, 9)",0.8413656111965028,0.007923647244760145,0.08876003130364463,0.4274639100496607,0.0775490062454821
"(0, 4, 10)",0.83584150229379,0.003456882232918899,0.09117079927770215,0.3173602161838653,0.03428130453915096
"(0, 4, 11)",0.8399104620099115,0.0058785363765167095,0.09717212468371693,0.2223820005316378,0.0577329629581185
"(0, 4, 12)",0.8460630372056999,0.009043892087777209,0.09571791249667848,0.26754948127310973,0.08753274466151113
"(0, 4, 13)",0.8497566832533421,0.007223926258760996,0.10759245552886887,0.12030996624935801,0.06931141177030414
"(0, 4, 14)",0.8566150296375737,0.012440238671280784,0.09758921267739562,0.274252128065096,0.11745674226994025
"(0, 4, 15)",0.8354493502682053,0.002211605538398778,0.10234934724132841,0.13961806644887526,0.021952704743588063
"(0, 4, 16)",0.8433548110883194,0.008835832583892847,0.08996180931129963,0.39046893158439505,0.08606913605455546
"(0, 4, 17)",0.8354663789539926,0.002310195791518233,0.10131617214468638,0.15219411459344503,0.022930390559260386
"(0, 4, 18)",0.84942862149921,0.01179146956064188,0.08926374324985473,0.48682155900601537,0.11322302973550553
"(0, 4, 19)",0.8861221152748798,0.022333479014581447,0.09468938556243572,0.5466487510449974,0.19705608422081383
"(0, 5, 6)",0.9030640165642352,0.001294087599186422,0.13215691774957294,0.028503927433338072,0.010993784475551549
"(0, 5, 7)",0.8922761411539106,0.011990824540357364,0.0989348685640978,0.45978625436005316,0.10434487087085478
"(0, 5, 8)",0.8787557039207132,0.00011035672732226127,0.1080811741680184,0.20036835011407073,0.0009901092490926956
"(0, 5, 9)",0.8852670033596899,0.00829520944168456,0.0978378488229951,0.455201870597474,0.073332994663972
"(0, 5, 10)",0.8802187096032847,0.0036137200966045334,0.10190723850443359,0.30131296308971434,0.03231423943206971
"(0, 5, 11)",0.8843016782801862,0.006209958719308576,0.10855730658818136,0.2111373010887584,0.055018460424672254
"(0, 5, 12)",0.8888980900923344,0.009460297261182773,0.10373697484703776,0.3009465466171743,0.0829509674562831
"(0, 5, 13)",0.8895927235218951,0.007529596040497705,0.11462867565687186,0.15432656405312842,0.06591888487852016
"(0, 5, 14)",0.9006244567948966,0.01308250515907007,0.10881313399158155,0.26038462644945454,0.11174396078141356
"(0, 5, 15)",0.8798858277481422,0.002341278145759588,0.11419050350447171,0.1325583080589861,0.020951782872984027
"(0, 5, 16)",0.8874602467553523,0.009273755056376383,0.10030698788761659,0.3707249515547518,0.08157900859443282
"(0, 5, 17)",0.8798780337624609,0.0024202530696208506,0.11307362927047032,0.14449845095390978,0.021658902537936234
"(0, 5, 18)",0.8929653027588187,0.012373345116491003,0.0986449157481759,0.510728048627644,0.10750745393710978
"(0, 5, 19)",0.9282579845054643,0.02348110407951616,0.10436413178209927,0.5190075710410793,0.18879989357258817
"(0, 6, 7)",0.5270592373304991,0.000409526403367205,0.044149295420068554,0.04880059939640539,0.010213713403880807
"(0, 6, 8)",0.20054990847966903,0.00025642140189150245,0.005949406630868841,0.12894183673025583,0.04417025969244141
"(0, 6, 9)",0.5168424406945565,0.0004999866949202594,0.04241457057621501,0.049787916236162764,0.01296769325264601
"(0, 6, 10)",0.2897627449756134,0.0002929700965239425,0.012859632859109649,0.08891791558363303,0.024174573376260357
"(0, 6, 11)",0.2078762311192252,0.0004216567113010279,0.006409214920400244,0.12567002773966235,0.06760362239200915
"(0, 6, 12)",0.6595775991653237,0.0006799595628229124,0.06978892001463885,0.03900804713277806,0.010828589978720401
"(0, 6, 13)",0.7895998134710752,0.0009260442723417993,0.10063533208459172,0.032587558473531085,0.01029054306520682
"(0, 6, 14)",0.25448589517330333,5.234693604545164e-05,0.009813712125096869,0.10100434724509706,0.005599953904116654
"(0, 6, 15)",0.13993963835623566,0.0002295042508871836,0.0027657198357091315,0.18665741505248526,0.08119510694672229
"(0, 6, 16)",0.3512052294351511,0.00022230151650842858,0.019162057802115322,0.07323677599337676,0.012486510774762826
"(0, 6, 17)",0.15219529873639573,0.00012124576492431819,0.003316689905346102,0.1694092910190006,0.03626475281546693
"(0, 6, 18)",0.48375883472553804,0.0003326884784421,0.037040329875385136,0.05316276039712173,0.009849191021732004
"(0, 6, 19)",0.48178032737771914,1.7062381953327453e-05,0.03673174560198893,0.05334643513381172,0.0005092864875801082
"(0, 7, 8)",0.5048133227771545,0.002341039390803558,0.03273759669222787,0.3509141454154226,0.06364550310380579
"(0, 7, 9)",0.5136938026935968,0.0020077044591917006,0.041228858822209835,0.06747961983407494,0.052712273704650627
"(0, 7, 10)",0.503009896499528,0.0015710213360595358,0.03160181669209892,0.47728143496418396,0.043017943273514304
"(0, 7, 11)",0.5207365211964652,0.005872209660017992,0.03430227685351034,0.3697742958640924,0.15003275942426275
