|name      |ra           |dec          |pm_ra   |pm_dec  |parallax|spect_type  |vmag |vmag_source|
|HIP 2021  |00 25 39.2020|-77 15 18.126| 2220.12|  324.37|  133.78|G2IV        | 2.82|G          |
|HIP 45238 |09 13 12.2408|-69 43 02.901| -157.66|  108.91|   29.34|A2IV        | 1.67|G          |
|HIP 61585 |12 37 11.0837|-69 08 07.921|  -39.87|  -12.44|   10.67|B2IV-V      | 2.69|G          |
|HIP 82273 |16 48 39.8658|-69 01 39.486|   17.85|  -32.92|    7.85|K2IIb-IIIa  | 1.91|G          |
|HIP 74946 |15 18 54.6888|-68 40 46.082|  -66.48|  -32.00|   17.85|A1V         | 2.87|G          |
|HIP 48002 |09 47 06.1376|-65 04 19.268|  -11.55|    4.97|    2.01|A9          | 2.92|G          |
|HIP 52419 |10 42 57.4267|-64 23 40.126|  -18.87|   12.06|    7.43|B0Vp        | 2.74|H          |
|HIP 77952 |15 55 08.8080|-63 25 47.099| -188.45| -401.92|   81.24|F2III       | 2.83|H          |
|HIP 60718 |12 26 35.9414|-63 05 56.601|  -35.37|  -14.73|   10.17|B0.5IV      | 0.77|G          |
|HIP 9236  |01 58 45.8718|-61 34 11.728|  262.54|   26.88|   45.74|F0V         | 2.86|G          |
|HIP 71681 |14 39 39.3908|-60 50 22.097|-3600.35|  952.11|  742.12|K1V         | 1.35|G          |
|HIP 71683 |14 39 40.8985|-60 50 06.529|-3678.19|  481.84|  742.12|G2V         |-0.01|G          |
|HIP 68702 |14 03 49.4446|-60 22 22.722|  -33.96|  -25.06|    6.21|B1III       | 0.61|G          |
|HIP 110130|22 18 30.1782|-60 15 34.181|  -71.48|  -38.15|   16.42|K3III       | 2.87|H          |
|HIP 62434 |12 47 43.3189|-59 41 19.437|  -48.24|  -12.82|    9.25|B0.5III     | 1.25|G          |
|HIP 41037 |08 22 30.8647|-59 30 34.338|  -25.34|   22.72|    5.16|K3III+B2V   | 1.86|G          |
|HIP 45556 |09 17 05.4284|-59 16 30.940|  -19.03|   13.11|    4.71|A8Ib        | 2.21|H          |
|HIP 59747 |12 15 08.7570|-58 44 56.046|  -36.68|  -10.72|    8.96|B2IV        | 2.79|G          |
|HIP 7588  |01 37 42.7517|-57 14 11.976|   88.02|  -40.08|   22.68|B3Vp        | 0.45|G          |
|HIP 61084 |12 31 09.9293|-57 06 45.249|   27.94| -264.33|   37.09|M4III       | 1.59|H          |
