triad,perimeter,area,polar_moment,side_ratio,normal_coefficient
"(0, 1, 2)",0.5114610993502957,0.011678039793804627,0.029832119983318032,0.671518290204799,0.30928962636735474
"(0, 1, 3)",0.8598609951149886,0.013701280000551087,0.09138582995240555,0.4691339027019463,0.12838824502207913
"(0, 1, 4)",0.46138285842769955,0.0029980060490116256,0.030282542725435613,0.1769745794157915,0.09757312463145458
"(0, 1, 5)",0.3947875654577391,0.0008612266224197252,0.01969606875500685,0.4056640431633814,0.038283455825814085
"(0, 1, 6)",0.6374855216517984,0.019400903010643226,0.04527594269262876,0.8882384342080718,0.3307515681123032
"(0, 1, 7)",0.4035711270347534,0.002882596893085769,0.02078891469141489,0.355074941550246,0.12262085996460066
"(0, 1, 8)",0.8327533347541053,0.019248521460810835,0.08406432375040093,0.5012294085916992,0.19230263418750548
"(0, 1, 9)",0.8403916611813776,0.008775414040519125,0.08784940550058523,0.4736105755492792,0.08608446133084077
"(0, 1, 10)",0.6059286407650749,0.008932408218943725,0.04561766285322254,0.4129675445697134,0.16855677726176863
"(0, 1, 11)",0.48752255207999295,0.009593836757400782,0.02808862990874003,0.5325938573733021,0.27965560142441764
"(0, 1, 12)",0.828803066724329,0.01979945145632236,0.08303302545803729,0.5063383125751182,0.1996967873907799
"(0, 1, 13)",0.5663679193713126,0.013989488813087697,0.0367973191536918,0.6364531188991814,0.30215179075022147
"(0, 1, 14)",0.45129542594346006,0.005371051645427575,0.027206988826102754,0.27445053402363745,0.18270821867693865
"(0, 1, 15)",0.7914499842896954,0.020437329830420306,0.07475891257017706,0.541946684868305,0.22604651872042744
"(0, 1, 16)",0.40022706210715464,0.0024565402454683957,0.019847540787188905,0.4828285639748663,0.10625065117859545
"(0, 1, 17)",0.49013516775513477,0.0033364568652493837,0.03309513875827995,0.22067698507339803,0.09622200534477623
"(0, 1, 18)",0.7059687832218333,0.00900255662917127,0.06159788733284591,0.4744184646747258,0.12514557129673837
"(0, 1, 19)",0.6928841722181723,0.0010325756476128318,0.06037402135525068,0.43181913835285857,0.014901199035756551
"(0, 2, 3)",0.8497915699916267,0.002188088078124267,0.09084777799514088,0.4290361553503018,0.020992326936347793
"(0, 2, 4)",0.408031168727308,0.003621223706439967,0.023133922565226166,0.21363275587409497,0.1506916870298811
"(0, 2, 5)",0.4290603974786943,0.007573874651503273,0.02124230807291141,0.6470505889495031,0.28503741477243694
"(0, 2, 6)",0.49041277899046687,0.007581350250303058,0.029950191951636652,0.38979952009516183,0.21839546856536887
"(0, 2, 7)",0.36861777257043954,0.0017420153230329116,0.017217689712884936,0.38393008695578845,0.08882189785498311
"(0, 2, 8)",0.8471803667393132,0.004980031774783239,0.09013709072939968,0.43146613240736936,0.04807297146942511
"(0, 2, 9)",0.8145699454452644,0.00624503304936694,0.08296383987489833,0.4499320751157147,0.06520765694024679
"(0, 2, 10)",0.5196732814614443,0.010887434584041896,0.03166216986389133,0.5483389934831474,0.2793093024700157
"(0, 2, 11)",0.5248216583236099,0.009048025589630816,0.033569865626781166,0.44134657832593677,0.22758882859298457
"(0, 2, 12)",0.846188878607553,0.005834652489676072,0.0898565025636648,0.432497286012292,0.05645481480887982
"(0, 2, 13)",0.4518050607964016,0.0005764098627168803,0.02868919590398617,0.19449611293659114,0.019563647965973343
"(0, 2, 14)",0.46524288093128663,0.007607286527901877,0.026661020591445952,0.4185459474054227,0.24349548918842545
"(0, 2, 15)",0.8178896088762598,0.00833663820384334,0.08344939828033487,0.4501383571898368,0.08634201738267946
"(0, 2, 16)",0.4375855358000353,0.007961829210559044,0.02219091929558112,0.5934721008451427,0.28807631942100614
"(0, 2, 17)",0.4332800665522379,0.004758940724407959,0.025081125628230963,0.2675193625746108,0.17562789470140946
"(0, 2, 18)",0.6913306331474689,0.0017344755615728502,0.05976508929390377,0.474188793077827,0.025143006151387322
"(0, 2, 19)",0.6468885504526861,0.008119038063253854,0.051625439111043704,0.4745564870403968,0.13442073545789887
"(0, 3, 4)",0.5253965055521423,0.00481033651472536,0.039834788179085714,0.1636242518495533,0.12073181178631463
"(0, 3, 5)",0.7033859045743495,0.009047427381644532,0.06342011617358798,0.3441482778985082,0.12669468687998459
"(0, 3, 6)",0.9159873137685933,0.012529935650819717,0.10394636759668878,0.4914799337059817,0.10346430424977607
"(0, 3, 7)",0.624964747337665,0.0015037167298951521,0.0537672129744611,0.2241500909036057,0.026673229952747235
"(0, 3, 8)",0.5645759690249531,0.009449382947505306,0.041392314704011716,0.32459862558356145,0.20538999820311202
"(0, 3, 9)",0.5214474579694806,0.005682766007923223,0.03779161449634673,0.2099817058089979,0.14479690647303592
"(0, 3, 10)",0.6223528283490567,0.014447346355675047,0.04694944698027463,0.4599252691297928,0.258425501686886
"(0, 3, 11)",0.589694052629353,0.012413187011481716,0.042837593536951095,0.4318175893094174,0.24731497941740035
"(0, 3, 12)",0.5741257777881393,0.010555294666604705,0.041926385348476265,0.3638412525712111,0.2218589161073931
