x	y	z	HIP_ID
-0.431645	-0.313785	0.845708	HIP 67464 
-0.509342	-0.022347	0.860274	HIP 75141 
-0.408954	-0.191533	0.892229	HIP 70574 
-0.432913	-0.105353	0.895258	HIP 73273 
-0.425232	-0.093457	0.900246	HIP 74117 
-0.326242	-0.259588	0.908945	HIP 68002 
-0.467767	0.021684	0.883586	HIP 76552 
-0.429378	-0.006083	0.903104	HIP 76371 
-0.338568	-0.143615	0.929917	HIP 71536 
-0.240011	-0.276514	0.930556	HIP 66657 
-0.337644	0.142764	0.930384	HIP 80000 
-0.131976	-0.120843	0.983859	HIP 71681 
0.106342	-0.332672	0.937028	HIP 57363 
0.040168	0.335096	0.941327	HIP 92609 
